;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1
1;2.63;3.43;4.26;5.1;5.94;6.76;7.6;8.41
1.5;1.74;2.29;2.85;3.41;3.96;4.51;5.06;5.6
2.5;1.06;1.4;1.73;2.06;2.39;2.72;3.05;3.37
4;0.68;0.891;1.1;1.3;1.51;1.71;1.92;2.11
6;0.464;0.603;0.741;0.88;1.02;1.15;1.28;1.41
10;0.293;0.378;0.458;0.541;0.621;0.7;0.776;0.842
16;0.199;0.25;0.301;0.351;0.4;0.447;0.494;0.528
25;0.142;0.173;0.205;0.236;0.266;0.295;0.322;0.337
35;0.11;0.133;0.155;0.176;0.197;0.216;0.234;0.241
50;0.0874;0.103;0.117;0.132;0.146;0.158;0.169;0.169
70;0.0701;0.0805;0.0901;0.0997;0.107;0.115;0.121;0.12
95;0.0615;0.0692;0.076;0.0824;0.0879;0.0929;0.0956;0.0887
120;0.0555;0.0615;0.0664;0.071;0.0751;0.0779;0.0787;0.0702
150;0.0514;0.0551;0.0592;0.0624;0.0646;0.0664;0.066;0.0562
185;0.0478;0.051;0.0537;0.0555;0.0574;0.0578;0.0565;0.0455
240;0.044;0.046;0.0478;0.049;0.0495;0.049;0.0467;0.035
